Elevation,Species,Abundance_per_quadrat,Date,time,Collectors
Mid,Austrocochlea,4,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Nerita,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Cellana,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Low,Austrocochlea,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Low,Nerita,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Low,Cellana,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Low,Cellana,6,25-Feb,pm,"Steffy, Zita, Jitsen"
Low,Austrocochlea,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Low,Nerita,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Austrocochlea,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Cellana,6,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Nerita,1,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Austrocochlea,8,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Nerita,29,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Cellana,0,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Austrocochlea,15,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Nerita,17,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Cellana,3,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Austrocochlea,8,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Cellana,8,25-Feb,pm,"Steffy, Zita, Jitsen"
Mid,Nerita,28,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Austrocochlea,1,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Cellana,0,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Nerita,2,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Cellana,1,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Austrocochlea,0,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Nerita,0,25-Feb,pm,"Steffy, Zita, Jitsen"
High,Cellana,17,25-Feb,pm,"Steffy, Zita, Jitsen"
Low,Zebra snail,1,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Limpet,24,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Black snail,0,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Limpet,0,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Black snail,0,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Zebra snail,0,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Limpet,25,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Zebra snail,3,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Mid,Limpet,15,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Mid,Zebra snail,5,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Mid,Black snail,0,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Mid,Zebra snail,7,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
High,Limpet,7,25-Feb,pm,"Faith, Lucinda, Ethan, Long, Jithmi"
Low,Limpet,20,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Zebra snail,1,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Black snail,0,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Limpet,14,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Zebra snail,0,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Black snail,0,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Limpet,38,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Zebra snail,9,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Black snail,2,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Limpet,23,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Zebra snail,13,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Black snail,38,25-Feb,pm,"Caitie, Clauddia, Jed"
High,Limpet,24,25-Feb,pm,"Caitie, Clauddia, Jed"
High,Zebra snail,1,25-Feb,pm,"Caitie, Clauddia, Jed"
High,Black snail,0,25-Feb,pm,"Caitie, Clauddia, Jed"
High,Limpet,0,25-Feb,pm,"Caitie, Clauddia, Jed"
High,Zebra snail,1,25-Feb,pm,"Caitie, Clauddia, Jed"
High,Black snail,29,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Limpet,19,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Limpet,0,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Black snail,0,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Zebra snail,2,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Limpet,39,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Zebra snail,0,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Black snail,1,25-Feb,pm,"Caitie, Clauddia, Jed"
Mid,Limpet,34,25-Feb,pm,"Caitie, Clauddia, Jed"
Low,Nerita,0,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Zebra snail,0,25-Feb,pm,"Tash, Morgan, Ines"
High,Limpet,20,25-Feb,pm,"Tash, Morgan, Ines"
Low,Limpet,7,25-Feb,pm,"Tash, Morgan, Ines"
Low,Zebra snail,0,25-Feb,pm,"Tash, Morgan, Ines"
High,Nerita,0,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Zebra snail,3,25-Feb,pm,"Tash, Morgan, Ines"
Low,Nerita,0,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Zebra snail,15,25-Feb,pm,"Tash, Morgan, Ines"
High,Nerita,19,25-Feb,pm,"Tash, Morgan, Ines"
Low,Limpet,44,25-Feb,pm,"Tash, Morgan, Ines"
High,Zebra snail,0,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Zebra snail,2,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Zebra snail,3,25-Feb,pm,"Tash, Morgan, Ines"
High,Limpet,0,25-Feb,pm,"Tash, Morgan, Ines"
High,Nerita,0,25-Feb,pm,"Tash, Morgan, Ines"
Low,Nerita,9,25-Feb,pm,"Tash, Morgan, Ines"
Low,Limpet,27,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Zebra snail,16,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Limpet,1,25-Feb,pm,"Tash, Morgan, Ines"
Mid,Nerita,5,25-Feb,pm,"Tash, Morgan, Ines"
High,Limpet,21,25-Feb,pm,"Tash, Morgan, Ines"
Low,Nerita,1,25-Feb,pm,"Tash, Morgan, Ines"
Low,Zebra snail,0,25-Feb,pm,"Tash, Morgan, Ines"
Low,Cellana,6,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Cellana,7,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Cellana,49,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Nerita,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Nerita,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Nerita,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Austrocochlea,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Austrocochlea,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Low,Austrocochlea,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Cellana,19,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Cellana,36,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Cellana,32,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Nerita,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Nerita,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Nerita,6,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Austrocochlea,6,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Austrocochlea,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Austrocochlea,8,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
High,Cellana,1,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
High,Cellana,13,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
High,Cellana,19,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
High,Nerita,30,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
High,Nerita,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
High,Nerita,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
High,Austrocochlea,0,25-Feb,pm,"Irisa, Sai, Magnus, Angelique"
Mid,Black snail,13,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Limpet,9,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Zebra snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Black snail,2,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Limpet,22,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Zebra snail,4,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Black snail,7,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Limpet,28,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Zebra snail,1,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Black snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Limpet,5,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Mid,Zebra snail,8,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Black snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Limpet,16,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Zebra snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Black snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Limpet,3,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Zebra snail,4,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Black snail,3,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Limpet,15,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Zebra snail,3,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Black snail,1,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Limpet,40,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Zebra snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Black snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Limpet,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Zebra snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Black snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Limpet,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Zebra snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Black snail,5,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Limpet,1,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Zebra snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Black snail,27,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Limpet,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
High,Zebra snail,0,25-Feb,pm,"Thay, Jiaxin, Yafang, Zhen"
Low,Nerita,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Cellana,28,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Austrocochlea,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Nerita,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Cellana,6,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Austrocochlea,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Nerita,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Cellana,31,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Austrocochlea,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Nerita,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Cellana,16,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Austrocochlea,4,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Nerita,0,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Cellana,7,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Austrocochlea,1,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Mid,Nerita,50,25-Feb,pm,"Jasmeen, Alelesia, Gisele"
Low,Austrocochlea,2,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
Low,Cellana,8,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
Mid,Nerita,35,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
Mid,Cellana,28,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
Mid,Austrocochlea,1,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
Low,Nerita,15,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
Low,Cellana,17,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
High,Nerita,21,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
High,Nerita,17,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
High,Cellana,7,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
High,Austrocochlea,1,25-Feb,pm,"Thien, Ronak, Claudia. Joan"
Low,Nerita,40,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Low,Cellana,25,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Low,Austrocochlea,19,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Low,Nerita,21,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Low,Cellana,28,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Low,Austrocochlea,1,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Nerita,20,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Cellana,22,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Austrocochlea,5,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Nerita,0,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Cellana,41,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Austrocochlea,0,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
High,Nerita,0,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
High,Cellana,26,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
High,Austrocochlea,0,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
High,Nerita,0,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
High,Cellana,51,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
High,Austrocochlea,0,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Nerita,32,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Cellana,24,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Austrocochlea,23,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Nerita,8,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Cellana,19,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Austrocochlea,0,25-Feb,pm,"Yarnu, Menghan,Jingung, Yunlai, Selma"
Mid,Black snail,11,25-Feb,am,Ip Hin Fai
Mid,Zebra snail,14,25-Feb,am,Ip Hin Fai
Mid,Limpet,6,25-Feb,am,Ip Hin Fai
Mid,Zebra snail,0,25-Feb,am,Ip Hin Fai
High,Black snail,13,25-Feb,am,Ip Hin Fai
High,Zebra snail,11,25-Feb,am,Ip Hin Fai
Mid,Limpet,12,25-Feb,am,Ip Hin Fai
Mid,Black snail,1,25-Feb,am,Ip Hin Fai
High,Zebra snail,0,25-Feb,am,Ip Hin Fai
High,Black snail,0,25-Feb,am,Ip Hin Fai
High,Limpet,2,25-Feb,am,Ip Hin Fai
High,Black snail,5,25-Feb,am,Ip Hin Fai
High,Zebra snail,0,25-Feb,am,Ip Hin Fai
Low,Limpet,0,25-Feb,am,Ip Hin Fai
Low,Zebra snail,3,25-Feb,am,Ip Hin Fai
Low,Black snail,0,25-Feb,am,Ip Hin Fai
Low,Limpet,29,25-Feb,am,Ip Hin Fai
Low,Black snail,0,25-Feb,am,Ip Hin Fai
Low,Zebra snail,2,25-Feb,am,Ip Hin Fai
High,Black snail,7,25-Feb,am,Ip Hin Fai
Mid,Zebra snail,0,25-Feb,am,Ip Hin Fai
Mid,Limpet,8,25-Feb,am,Ip Hin Fai
Mid,Black snail,0,25-Feb,am,Ip Hin Fai
Low,Zebra snail,0,25-Feb,am,Ip Hin Fai
Low,Black snail,0,25-Feb,am,Ip Hin Fai
Low,Limpet,24,25-Feb,am,Ip Hin Fai
Low,Zebra snail,0,25-Feb,am,Ip Hin Fai
Mid,Black snail,0,25-Feb,am,Ip Hin Fai
Mid,Zebra snail,3,25-Feb,am,Ip Hin Fai
Mid,Limpet,25,25-Feb,am,Ip Hin Fai
Mid,Black snail,0,25-Feb,am,Ip Hin Fai
High,Black snail,6,25-Feb,am,Ip Hin Fai
Mid,Zebra snail,0,25-Feb,am,Ip Hin Fai
Mid,Limpet,15,25-Feb,am,Ip Hin Fai
High,Black snail,0,25-Feb,am,Ip Hin Fai
High,Zebra snail,0,25-Feb,am,Ip Hin Fai
Mid,Black snail,0,25-Feb,am,Ip Hin Fai
Low,Zebra snail,0,25-Feb,am,Ip Hin Fai
Mid,Limpet,46,25-Feb,am,Ip Hin Fai
Mid,Black snail,20,25-Feb,am,Ip Hin Fai
Mid,Zebra snail,0,25-Feb,am,Ip Hin Fai
Low,Limpet,45,25-Feb,am,Ip Hin Fai
Low,Zebra snail,1,25-Feb,am,Ip Hin Fai
Low,Black snail,0,25-Feb,am,Ip Hin Fai
Low,Black snail,0,25-Feb,am,Ip Hin Fai
Low,Black snail,1,25-Feb,am,Ip Hin Fai
Mid,Zebra snail,14,25-Feb,am,Ip Hin Fai
High,Limpet,2,25-Feb,am,Ip Hin Fai
High,Nerita,0,25-Feb,am,"Lola, Emerald, Jed, Claire"
High,Cellana,24,25-Feb,am,"Lola, Emerald, Jed, Claire"
High,Austrocochlea,2,25-Feb,am,"Lola, Emerald, Jed, Claire"
Mid,Nerita,0,25-Feb,am,"Lola, Emerald, Jed, Claire"
Mid,Cellana,0,25-Feb,am,"Lola, Emerald, Jed, Claire"
Mid,Austrocochlea,4,25-Feb,am,"Lola, Emerald, Jed, Claire"
Low,Nerita,0,25-Feb,am,"Lola, Emerald, Jed, Claire"
Low,Cellana,34,25-Feb,am,"Lola, Emerald, Jed, Claire"
Low,Austrocochlea,0,25-Feb,am,"Lola, Emerald, Jed, Claire"
High,Nerita,0,25-Feb,am,"Lola, Emerald, Jed, Claire"
High,Cellana,17,25-Feb,am,"Lola, Emerald, Jed, Claire"
High,Austrocochlea,0,25-Feb,am,"Lola, Emerald, Jed, Claire"
High,Black snail,0,25-Feb,am,unknown 01
High,Limpet,9,25-Feb,am,unknown 01
High,Zebra snail,0,25-Feb,am,unknown 01
High,Black snail,8,25-Feb,am,unknown 01
High,Limpet,50,25-Feb,am,unknown 01
High,Zebra snail,0,25-Feb,am,unknown 01
High,Limpet,21,25-Feb,am,unknown 01
High,Zebra snail,3,25-Feb,am,unknown 01
High,Black snail,12,25-Feb,am,unknown 01
High,Limpet,2,25-Feb,am,unknown 01
High,Zebra snail,0,25-Feb,am,unknown 01
Low,Black snail,7,25-Feb,am,unknown 01
Low,Limpet,8,25-Feb,am,unknown 01
Low,Zebra snail,0,25-Feb,am,unknown 01
Low,Black snail,26,25-Feb,am,unknown 01
Low,Limpet,26,25-Feb,am,unknown 01
Low,Zebra snail,1,25-Feb,am,unknown 01
Low,Black snail,0,25-Feb,am,unknown 01
Low,Limpet,22,25-Feb,am,unknown 01
Low,Zebra snail,0,25-Feb,am,unknown 01
Low,Black snail,0,25-Feb,am,unknown 01
Low,Limpet,9,25-Feb,am,unknown 01
Mid,Black snail,10,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,27,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,16,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,2,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,11,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,7,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,3,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,40,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,2,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,2,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,18,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,10,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,113,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,141,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,24,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,24,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,9,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,26,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,4,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,20,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,19,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,1,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,35,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,1,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,44,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Limpet,27,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Low,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,34,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
Mid,Limpet,19,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,3,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Black snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Limpet,24,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Zebra snail,0,25-Feb,am,"Alex, Bella, Sheen, Esme"
High,Nerita,0,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
High,Austrocochlea,10,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
High,Cellana,3,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Nerita,14,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,5,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,12,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Low,Nerita,9,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Cellana,14,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,23,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Nerita,1,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
Mid,Austrocochlea,12,25-Feb,am,"Zenn, Makayla, Cecilia, Jorgia"
